#Path: /HepData/8872/d3-x1-y1
#Centrality dependence of the charged particle pseudorapidity distribution measured in several centrality intervals for charged particles with $p_{T} > 0$ GeV. The first uncertainty is statistical the #second systematic
#Location: Figure 7 right
#$\sqrt{s_{_{\text{NN}}}}$ in GeV : 5020.0
#$p_{T}$ in GeV above : 0.0
#x : $\eta$
#y : $dN_{ch}/d\eta$ in (60-90)% : $dN_{ch}/d\eta$ in (40-60)% : $dN_{ch}/d\eta$ in (30-40)% : $dN_{ch}/d\eta$ in (20-30)% : $dN_{ch}/d\eta$ in (10-20)% : $dN_{ch}/d\eta$ in (5-10)% : $dN_{ch}/d\eta$ in (1-5)% : $dN_{ch}/d\eta$ in (0-1)%
#xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.55	0.5	0.6	8.609	+0.092	-0.092	+0.503	-0.503	16.445	+0.126	-0.126	+0.63	-0.63	21.785	+0.187	-0.187	+0.725	-0.725	25.747	+0.218	-0.218	+0.769	-0.769	30.858	+0.262	-0.262	+0.921	-0.921	36.542	+0.339	-0.339	+1.058	-1.058	42.975	+0.472	-0.472	+1.243	-1.243	54.194	+0.498	-0.498	+1.716	-1.716
	0.6499999999999999	0.6	0.7	8.686	+0.092	-0.092	+0.509	-0.509	16.639	+0.127	-0.127	+0.638	-0.638	21.733	+0.185	-0.185	+0.724	-0.724	25.762	+0.218	-0.218	+0.769	-0.769	30.981	+0.262	-0.262	+0.925	-0.925	36.596	+0.339	-0.339	+1.059	-1.059	42.884	+0.472	-0.472	+1.239	-1.239	53.919	+0.495	-0.495	+1.71	-1.71
	0.75	0.7	0.8	8.723	+0.092	-0.092	+0.514	-0.514	16.697	+0.127	-0.127	+0.645	-0.645	21.977	+0.187	-0.187	+0.738	-0.738	25.93	+0.219	-0.219	+0.782	-0.782	30.961	+0.262	-0.262	+0.934	-0.934	36.401	+0.337	-0.337	+1.064	-1.064	42.871	+0.47	-0.47	+1.252	-1.252	53.581	+0.493	-0.493	+1.721	-1.721
	0.8500000000000001	0.8	0.9	8.839	+0.093	-0.093	+0.526	-0.526	16.842	+0.128	-0.128	+0.661	-0.661	21.947	+0.187	-0.187	+0.752	-0.752	26.057	+0.219	-0.219	+0.804	-0.804	31.002	+0.262	-0.262	+0.956	-0.956	36.606	+0.339	-0.339	+1.096	-1.096	42.775	+0.471	-0.471	+1.28	-1.28	53.583	+0.492	-0.492	+1.767	-1.767
	0.95	0.9	1.0	8.955	+0.094	-0.094	+0.537	-0.537	16.913	+0.128	-0.128	+0.673	-0.673	22.155	+0.188	-0.188	+0.771	-0.771	26.028	+0.219	-0.219	+0.818	-0.818	31.11	+0.263	-0.263	+0.977	-0.977	36.469	+0.338	-0.338	+1.113	-1.113	42.799	+0.471	-0.471	+1.305	-1.305	53.539	+0.491	-0.491	+1.805	-1.805
	1.05	1.0	1.1	8.993	+0.093	-0.093	+0.543	-0.543	17.014	+0.128	-0.128	+0.683	-0.683	22.258	+0.188	-0.188	+0.782	-0.782	26.156	+0.219	-0.219	+0.83	-0.83	31.168	+0.262	-0.262	+0.989	-0.989	36.612	+0.34	-0.34	+1.129	-1.129	42.744	+0.47	-0.47	+1.318	-1.318	53.086	+0.488	-0.488	+1.814	-1.814
	1.15	1.1	1.2	9.089	+0.094	-0.094	+0.553	-0.553	17.103	+0.128	-0.128	+0.69	-0.69	22.296	+0.188	-0.188	+0.787	-0.787	26.274	+0.219	-0.219	+0.838	-0.838	31.136	+0.262	-0.262	+0.993	-0.993	36.459	+0.337	-0.337	+1.129	-1.129	42.713	+0.47	-0.47	+1.323	-1.323	52.688	+0.483	-0.483	+1.815	-1.815
	1.25	1.2	1.3	9.212	+0.094	-0.094	+0.569	-0.569	17.156	+0.128	-0.128	+0.71	-0.71	22.294	+0.187	-0.187	+0.811	-0.811	26.053	+0.217	-0.217	+0.861	-0.861	31.13	+0.262	-0.262	+1.028	-1.028	36.384	+0.334	-0.334	+1.169	-1.169	42.374	+0.464	-0.464	+1.362	-1.362	52.625	+0.483	-0.483	+1.888	-1.888
	1.35	1.3	1.4	9.221	+0.094	-0.094	+0.57	-0.57	17.251	+0.128	-0.128	+0.71	-0.71	22.343	+0.188	-0.188	+0.806	-0.806	26.161	+0.218	-0.218	+0.853	-0.853	30.994	+0.259	-0.259	+1.011	-1.011	36.161	+0.333	-0.333	+1.146	-1.146	42.285	+0.465	-0.465	+1.34	-1.34	51.795	+0.474	-0.474	+1.839	-1.839
	1.45	1.4	1.5	9.265	+0.094	-0.094	+0.583	-0.583	17.275	+0.128	-0.128	+0.73	-0.73	22.393	+0.188	-0.188	+0.833	-0.833	26.094	+0.217	-0.217	+0.883	-0.883	30.783	+0.258	-0.258	+1.041	-1.041	35.915	+0.332	-0.332	+1.183	-1.183	41.803	+0.46	-0.46	+1.377	-1.377	51.467	+0.472	-0.472	+1.907	-1.907
